TIME,PID,D0,D1,D2,D3,D4,D5,D6,D7,CRC
4.320993062500000,0x06,0x02,0x00,0x00,0x4C,0x44,0x74,0xF7,0x01,0xF9
4.421481750000000,0x07,0xF5,0x01,0x7E,0x74,0x4C,,,,0x82
4.521970562500000,0x06,0x02,0x00,0x00,0x4C,0x7D,0x74,0xF2,0x01,0xC5
4.622459625000000,0x07,0xF5,0x01,0x3C,0x74,0x4C,,,,0xC4
4.722948437500000,0x06,0x02,0x00,0x00,0x4C,0x7F,0x74,0xEC,0x01,0xC9
4.823437125000000,0x07,0xF8,0x01,0x7F,0x74,0x4C,,,,0x7E
4.923926125000000,0x06,0x02,0x00,0x00,0x4C,0x7B,0x74,0xF7,0x01,0xC2
5.024414750000000,0x07,0xEF,0x01,0x75,0x74,0x4C,,,,0x91
5.124899062500000,0x06,0x02,0x00,0x00,0x4C,0x80,0x74,0xF4,0x01,0xC0
5.225391250000000,0x07,0xF0,0x01,0x77,0x74,0x4C,,,,0x8E
5.325875500000000,0x06,0x02,0x00,0x00,0x4C,0x71,0x74,0xF5,0x01,0xCE
5.426364187500000,0x07,0xF2,0x01,0x83,0x74,0x4C,,,,0x80
5.526853187500000,0x06,0x02,0x00,0x00,0x4C,0x85,0x74,0xE9,0x01,0xC6
5.627342062500000,0x07,0xF0,0x01,0x6A,0x74,0x4C,,,,0x9B
5.727831000000000,0x06,0x02,0x00,0x00,0x4C,0x62,0x74,0xED,0x01,0xE5
5.828319625000000,0x07,0xEF,0x01,0x88,0x74,0x4C,,,,0x7E
5.928808625000000,0x06,0x02,0x00,0x00,0x4C,0x63,0x74,0xF0,0x01,0xE1
6.029297187500000,0x07,0xE6,0x01,0x57,0x74,0x4C,,,,0xB8
6.129786250000000,0x06,0x02,0x00,0x00,0x4C,0x88,0x74,0xF2,0x01,0xBA
6.230270250000000,0x07,0xF2,0x01,0x88,0x74,0x4C,,,,0x7B
6.330759125000000,0x06,0x02,0x00,0x00,0x4C,0x4F,0x74,0xED,0x01,0xF8
6.431247812500000,0x07,0xF5,0x01,0x47,0x74,0x4C,,,,0xB9
6.531736750000000,0x06,0x02,0x00,0x00,0x4C,0x8A,0x74,0xF3,0x01,0xB7
6.632225687500000,0x07,0xF6,0x01,0x49,0x74,0x4C,,,,0xB6
6.732714625000000,0x06,0x02,0x00,0x00,0x4C,0x84,0x74,0xF6,0x01,0xBA
6.833203312500000,0x07,0xF6,0x01,0x8D,0x74,0x4C,,,,0x72
6.933692312500000,0x06,0x02,0x00,0x00,0x4C,0x8C,0x74,0xF4,0x01,0xB4
7.034180937500000,0x07,0xF6,0x01,0x81,0x74,0x4C,,,,0x7E
7.134665250000000,0x06,0x02,0x00,0x00,0x4C,0x8F,0x74,0xED,0x01,0xB8
7.235157375000000,0x07,0xF5,0x01,0x8C,0x74,0x4C,,,,0x74
7.335641625000000,0x06,0x02,0x00,0x00,0x4C,0x79,0x74,0xF0,0x01,0xCB
7.436130312500000,0x07,0xF2,0x01,0x72,0x74,0x4C,,,,0x91
7.536619250000000,0x06,0x02,0x00,0x00,0x4C,0x8D,0x74,0xF9,0x01,0xAE
7.637108187500000,0x07,0xF4,0x01,0x90,0x74,0x4C,,,,0x71
7.737597250000000,0x06,0x02,0x00,0x00,0x4C,0x69,0x74,0xF0,0x01,0xDB
7.838085937500000,0x07,0xEF,0x01,0x90,0x74,0x4C,,,,0x76
7.938574875000000,0x06,0x02,0x00,0x00,0x4C,0x92,0x74,0xEB,0x01,0xB7
8.039063499999999,0x07,0xF2,0x01,0x5F,0x74,0x4C,,,,0xA4
8.139547812500000,0x06,0x02,0x00,0x00,0x4C,0x54,0x74,0xEE,0x01,0xF2
8.240039937500001,0x07,0xE7,0x01,0x93,0x74,0x4C,,,,0x7B
8.340524250000000,0x06,0x02,0x00,0x00,0x4C,0x95,0x74,0xF2,0x01,0xAD
8.441012875000000,0x07,0xE9,0x01,0x8D,0x74,0x4C,,,,0x7F
8.541501875000000,0x06,0x02,0x00,0x00,0x4C,0x94,0x74,0xF5,0x01,0xAB
8.641990750000000,0x07,0xF6,0x01,0x97,0x74,0x4C,,,,0x68
8.742479749999999,0x06,0x02,0x00,0x00,0x4C,0x8B,0x74,0xEC,0x01,0xBD
8.842968500000000,0x07,0xF6,0x01,0x86,0x74,0x4C,,,,0x79
8.943457499999999,0x06,0x02,0x00,0x00,0x4C,0x98,0x74,0xF5,0x01,0xA7
9.043946187500000,0x07,0xEE,0x01,0x98,0x74,0x4C,,,,0x6F
9.144430437500001,0x06,0x02,0x00,0x00,0x4C,0x7E,0x74,0xF4,0x01,0xC2
9.244922624999999,0x07,0xE9,0x01,0x99,0x74,0x4C,,,,0x73
9.345411562500001,0x06,0x02,0x40,0x00,0x4C,0x2E,0x74,0x3F,0x00,0x89
9.445895562500001,0x07,0xB3,0xFF,0xE0,0x73,0x4C,,,,0x64
9.546384562500000,0x06,0x02,0x40,0x00,0x4C,0xD0,0x73,0x45,0x00,0xE1
9.646873437500000,0x07,0xB0,0xFF,0xF0,0x73,0x4C,,,,0x57
