rosbagTimestamp,northing,data,easting,data
1526291581023903098,,5548283.71285,,7422651.14598
1526291581074179514,,5548283.71248,,7422651.14597
1526291581123871151,,5548283.71286,,7422651.14502
1526291581174005023,,5548283.7121,,7422651.14645
1526291581223505269,,5548283.7134,,7422651.14646
1526291581274040789,,5548283.71285,,7422651.14562
1526291581323970661,,5548283.71191,,7422651.14656
1526291581374225953,,5548283.71247,,7422651.14657
1526291581423633887,,5548283.71396,,7422651.14576
1526291581473560131,,5548283.71264,,7422651.14741
1526291581523302166,,5548283.71211,,7422651.14597
1526291581573829264,,5548283.71357,,7422651.14742
1526291581624122634,,5548283.71173,,7422651.1462
1526291581674378620,,5548283.71135,,7422651.14715
1526291581724009395,,5548283.71394,,7422651.14719
1526291581773757284,,5548283.71321,,7422651.14634
1526291581823893665,,5548283.71304,,7422651.14574
1526291581874558102,,5548283.71321,,7422651.14634
1526291581923901324,,5548283.71528,,7422651.14482
1526291581974052552,,5548283.71489,,7422651.14577
1526291582024578685,,5548283.71359,,7422651.14575
1526291582073800232,,5548283.71304,,7422651.1455
1526291582124010496,,5548283.71321,,7422651.14634
1526291582173830873,,5548283.71396,,7422651.14635
1526291582224264546,,5548283.71357,,7422651.14706
1526291582273779374,,5548283.71358,,7422651.14659
1526291582324288414,,5548283.71451,,7422651.14672
1526291582373923381,,5548283.71563,,7422651.1459
1526291582423882402,,5548283.71544,,7422651.14602
1526291582473721152,,5548283.71616,,7422651.14806
1526291582524247354,,5548283.71804,,7422651.14629
1526291582575967350,,5548283.71563,,7422651.1459
1526291582623944305,,5548283.71803,,7422651.14653
1526291582673909435,,5548283.7158,,7422651.14674
1526291582723173427,,5548283.7145,,7422651.14743
1526291582773607349,,5548283.7156,,7422651.14805
1526291582824712614,,5548283.71579,,7422651.14769
1526291582873946232,,5548283.71673,,7422651.14651
1526291582924396049,,5548283.71727,,7422651.14759
1526291582973927796,,5548283.71156,,7422651.1456
1526291583024119417,,5548283.71489,,7422651.14613
1526291583074158938,,5548283.71434,,7422651.1454
1526291583123722599,,5548283.7136,,7422651.14563
1526291583173385159,,5548283.71471,,7422651.14517
1526291583223840204,,5548283.71398,,7422651.14492
1526291583274057365,,5548283.71341,,7422651.14575
1526291583323983193,,5548283.71287,,7422651.14431
1526291583374209439,,5548283.71197,,7422651.14274
1526291583423978901,,5548283.71197,,7422651.14239
1526291583473970180,,5548283.71234,,7422651.14287
1526291583524087064,,5548283.71307,,7422651.14348
1526291583573865436,,5548283.71346,,7422651.14205
1526291583623508055,,5548283.71365,,7422651.14205
1526291583673597946,,5548283.71252,,7422651.14287
1526291583724150737,,5548283.71382,,7422651.14301
1526291583774122030,,5548283.71196,,7422651.14346
1526291583823640989,,5548283.714,,7422651.14325
1526291583874302720,,5548283.71289,,7422651.14288
1526291583923840607,,5548283.71253,,7422651.14227
1526291583973819903,,5548283.71251,,7422651.14359
1526291584028360299,,5548283.71364,,7422651.14265
1526291584074089697,,5548283.71086,,7422651.14213
1526291584124007284,,5548283.70918,,7422651.14294
1526291584173466203,,5548283.71069,,7422651.14117
1526291584223406537,,5548283.70974,,7422651.14295
1526291584273766385,,5548283.7116,,7422651.14226
1526291584323984258,,5548283.70972,,7422651.14414
1526291584374170437,,5548283.70789,,7422651.1428
1526291584424148130,,5548283.70696,,7422651.14303
1526291584474335236,,5548283.70677,,7422651.14315
1526291584523998626,,5548283.70714,,7422651.14339
1526291584574070082,,5548283.71011,,7422651.14284
1526291584623991540,,5548283.70898,,7422651.14401
1526291584674060574,,5548283.70899,,7422651.14389
1526291584723397029,,5548283.7077,,7422651.1428
1526291584773627324,,5548283.70733,,7422651.14315
1526291584824242157,,5548283.70715,,7422651.14291
1526291584874087118,,5548283.70604,,7422651.14266
1526291584923586686,,5548283.70846,,7422651.1415
1526291584974219254,,5548283.70772,,7422651.14137
1526291585023606179,,5548283.70993,,7422651.14236
1526291585073781727,,5548283.70642,,7422651.14207
1526291585123597809,,5548283.7092,,7422651.14211
1526291585174053721,,5548283.70919,,7422651.1427
1526291585223182620,,5548283.70714,,7422651.14303
1526291585273225139,,5548283.70826,,7422651.14305
1526291585323017935,,5548283.70863,,7422651.1427
1526291585373723317,,5548283.70881,,7422651.14341
1526291585423534485,,5548283.70845,,7422651.14245
1526291585474056675,,5548283.70919,,7422651.14246
1526291585524212385,,5548283.71028,,7422651.14379
1526291585575031081,,5548283.70992,,7422651.14319
1526291585623760246,,5548283.70862,,7422651.14365
1526291585673962290,,5548283.70861,,7422651.14425
1526291585723933303,,5548283.71234,,7422651.14299
1526291585773631903,,5548283.7101,,7422651.14355
1526291585823876377,,5548283.71308,,7422651.14312
1526291585874427507,,5548283.70917,,7422651.14366
1526291585923531316,,5548283.71177,,7422651.1437
1526291585973509092,,5548283.71271,,7422651.14252
1526291586023765604,,5548283.70974,,7422651.14331
1526291586074074599,,5548283.71047,,7422651.14403
