Syntax version=4
Wed Apr 04 09:16:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	879.71	0.106307	0
D:	880.97	0.106307	0
D:	883.11	0.106307	0
D:	886.84	0.106307	0
D:	888.51	0.106307	0
D:	889.46	0.106307	0
D:	890.48	0.106307	0
D:	891.60	0.106307	0
D:	892.55	0.106307	0
D:	893.48	0.106307	0
D:	894.46	0.106307	0
D:	895.50	0.106307	0
D:	896.46	0.106307	0
D:	897.40	0.106307	0
D:	898.33	0.106307	0
D:	899.30	0.106307	0
D:	900.30	0.106307	0
D:	901.42	0.106307	0
D:	902.26	0.106307	0
D:	903.10	0.106307	0
D:	903.94	0.106307	0
D:	904.77	0.106307	0
D:	905.60	0.106307	0
D:	906.44	0.106307	0
D:	907.29	0.106307	0
D:	908.24	0.106307	0
D:	909.04	0.106307	0
D:	910.07	0.106307	0
D:	911.09	0.106307	0
D:	912.11	0.106307	0
D:	913.14	0.106307	0
D:	914.15	0.106307	0
D:	915.15	0.106307	0
D:	916.18	0.106307	0
D:	917.20	0.106307	0
D:	918.21	0.106307	0
D:	919.21	0.106307	0
D:	920.24	0.106307	0
D:	921.06	0.106307	0
D:	922.00	0.106307	0
D:	922.98	0.106307	0
D:	923.94	0.106307	0
D:	924.97	0.106307	0
D:	925.99	0.106307	0
D:	927.01	0.106307	0
D:	928.03	0.106307	0
D:	929.08	0.106307	0
D:	930.07	0.106307	0
D:	931.06	0.106307	0
D:	932.08	0.106307	0
D:	933.09	0.106307	0
D:	934.09	0.106307	0
D:	935.11	0.106307	0
D:	936.12	0.106307	0
D:	937.09	0.106307	0
D:	938.28	0.106307	0
D:	939.31	0.106307	0
D:	940.31	0.106307	0
D:	941.28	0.106307	0
D:	942.13	0.106307	0
D:	943.16	0.106307	0
D:	944.18	0.106307	0
D:	945.20	0.106307	0
D:	946.20	0.106307	0
D:	947.23	0.106307	0
D:	948.25	0.106307	0
D:	949.27	0.106307	0
D:	950.27	0.106307	0
D:	951.29	0.106307	0
D:	952.31	0.106307	0
D:	953.17	0.106307	0
D:	954.15	0.106307	0
D:	955.17	0.106307	0
D:	956.19	0.106307	0
D:	957.03	0.106307	0
D:	957.94	0.106307	0
D:	958.84	0.106307	0
D:	959.78	0.106307	0
D:	960.72	0.106307	0
D:	961.64	0.106307	0
D:	962.59	0.106307	0
D:	963.52	0.106307	0
D:	964.45	0.106307	0
D:	965.38	0.106307	0
D:	966.31	0.106307	0
D:	967.31	0.106307	0
D:	968.30	0.106307	0
D:	969.25	0.106307	0
D:	970.18	0.106307	0
D:	971.13	0.106307	0
D:	972.05	0.106307	0
D:	972.98	0.106307	0
D:	973.71	0.106307	0
D:	974.52	0.106307	0
D:	975.46	0.106307	0
D:	976.38	0.106307	0
D:	977.30	0.106307	0
