Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	372.69	0.000000	0
D:	373.47	0.000000	0
D:	374.21	0.000000	0
D:	374.96	0.000000	0
D:	375.70	0.000000	0
D:	376.47	0.000000	0
D:	377.22	0.000000	0
D:	377.98	0.000000	0
D:	378.70	0.000000	0
D:	379.47	0.000000	0
D:	380.34	0.000000	0
D:	381.12	0.000000	0
D:	381.87	0.000000	0
D:	382.69	0.000000	0
D:	383.47	0.000000	0
D:	384.22	0.000000	0
D:	384.97	0.000000	0
D:	385.72	0.000000	0
D:	386.47	0.000000	0
D:	387.21	0.000000	0
D:	387.97	0.000000	0
D:	388.72	0.000000	0
D:	389.47	0.000000	0
D:	390.21	0.000000	0
D:	390.97	0.000000	0
D:	391.73	0.000000	0
D:	392.48	0.000000	0
D:	393.21	0.000000	0
D:	393.96	0.000000	0
D:	394.75	0.000000	0
D:	395.55	0.000000	0
D:	396.30	0.000000	0
D:	397.03	0.000000	0
D:	397.75	0.000000	0
D:	398.47	0.000000	0
D:	399.28	0.000000	0
D:	400.12	0.000000	0
D:	400.95	0.000000	0
D:	401.67	0.000000	0
D:	402.60	0.000000	0
D:	403.32	0.000000	0
D:	404.08	0.000000	0
D:	404.79	0.000000	0
D:	405.50	0.000000	0
D:	406.31	0.000000	0
D:	407.03	0.000000	0
D:	407.74	0.000000	0
D:	408.49	0.000000	0
D:	409.23	0.000000	0
D:	410.04	0.000000	0
D:	410.88	0.000000	0
D:	411.75	0.000000	0
D:	413.18	0.000000	0
D:	414.11	0.000000	0
D:	415.06	0.000000	0
D:	416.03	0.000000	0
D:	416.96	0.000000	0
D:	417.96	0.000000	0
D:	418.93	0.000000	0
D:	419.86	0.000000	0
D:	421.05	0.000000	0
D:	422.30	0.000000	0
D:	423.53	0.000000	0
D:	424.78	0.000000	0
D:	426.00	0.000000	0
D:	427.28	0.000000	0
D:	428.52	0.000000	0
D:	429.69	0.000000	0
D:	430.97	0.000000	0
D:	432.18	0.000000	0
D:	433.14	0.000000	0
D:	434.35	0.000000	0
D:	435.58	0.000000	0
D:	436.78	0.000000	0
D:	437.87	0.000000	0
D:	439.01	0.000000	0
D:	440.12	0.000000	0
D:	441.20	0.000000	0
D:	442.29	0.000000	0
D:	443.34	0.000000	0
D:	444.44	0.000000	0
D:	445.55	0.000000	0
D:	446.65	0.000000	0
D:	447.77	0.000000	0
D:	448.84	0.000000	0
D:	449.98	0.000000	0
D:	451.03	0.000000	0
D:	452.11	0.000000	0
D:	453.19	0.000000	0
D:	454.29	0.000000	0
D:	455.38	0.000000	0
D:	456.46	0.000000	0
D:	457.55	0.000000	0
D:	458.65	0.000000	0
D:	459.71	0.000000	0
